gender,province,education,age_group,votechoice,citizenship,vote_literal,vote_ndp,vote_green,vote_conservative,vote_people,vote_Bloc
Female,ON,medium,young_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,medium,young_people,Another,Canadian citizen,0,0,0,0,0,0
Female,ON,high,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,BC,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,old_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,high,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,AB,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,SK,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,QC,medium,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,BC,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,medium,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,AB,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,BC,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,high,old_people,Bloc_Quebecois,Canadian citizen,0,0,0,0,0,1
Male,ON,medium,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,ON,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,old_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,BC,high,old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,ON,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,MB,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,old_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,AB,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,SK,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,BC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,AB,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,QC,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,AB,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,high,young_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,low,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,NS,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,medium,old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,ON,low,old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,QC,high,old_people,Bloc_Quebecois,Canadian citizen,0,0,0,0,0,1
Female,AB,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,BC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,medium,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,BC,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,NS,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,high,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,NB,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,AB,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,young_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,AB,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,MB,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,MB,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,MB,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,BC,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,medium,adult,Another,Canadian citizen,0,0,0,0,0,0
Male,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,very_old_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,QC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,old_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,low,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,NS,medium,old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,old_people,Another,Canadian citizen,0,0,0,0,0,0
Female,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,QC,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,young_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,QC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,medium,old_people,Bloc_Quebecois,Canadian citizen,0,0,0,0,0,1
Male,ON,high,adult,NDP,Canadian citizen,0,1,0,0,0,0
Male,QC,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,adult,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,medium,old_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,medium,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,ON,high,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,ON,high,very_old_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,AB,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,QC,high,old_people,Bloc_Quebecois,Canadian citizen,0,0,0,0,0,1
Male,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,NL,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,medium,young_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,ON,high,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,medium,young_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,QC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,BC,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,medium,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Others,NB,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,adult,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,medium,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,medium,adult,NDP,Canadian citizen,0,1,0,0,0,0
Male,PE,medium,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,medium,very_old_people,Bloc_Quebecois,Canadian citizen,0,0,0,0,0,1
Male,ON,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,high,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,AB,low,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,high,adult,Bloc_Quebecois,Canadian citizen,0,0,0,0,0,1
Male,NS,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,QC,high,old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,PE,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,adult,People_Party,Canadian citizen,0,0,0,0,1,0
Male,NL,medium,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,old_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,ON,medium,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,AB,high,young_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,NL,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,low,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,very_old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,QC,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,high,old_people,Bloc_Quebecois,Canadian citizen,0,0,0,0,0,1
Female,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,NL,medium,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,NS,medium,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,AB,low,young_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,QC,high,old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,QC,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,medium,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,NL,medium,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,high,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,QC,high,very_old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,medium,old_people,Another,Canadian citizen,0,0,0,0,0,0
Male,BC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,QC,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,old_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,NL,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,very_old_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,high,old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,NS,high,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,QC,high,very_old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,QC,medium,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,QC,medium,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,medium,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,QC,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,MB,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,high,adult,People_Party,Canadian citizen,0,0,0,0,1,0
Female,ON,medium,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,very_old_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,high,old_people,Bloc_Quebecois,Canadian citizen,0,0,0,0,0,1
Female,ON,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,BC,medium,adult,NDP,Canadian citizen,0,1,0,0,0,0
Male,QC,high,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,medium,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,QC,medium,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,old_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,QC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,NS,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,low,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,ON,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,old_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,high,adult,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,high,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,QC,medium,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,QC,high,old_people,Bloc_Quebecois,Canadian citizen,0,0,0,0,0,1
Male,ON,medium,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,NS,medium,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,medium,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,adult,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,low,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,medium,adult,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,NL,high,old_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,QC,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,adult,NDP,Canadian citizen,0,1,0,0,0,0
Male,BC,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,medium,adult,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,QC,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,very_old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,high,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,AB,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,high,adult,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,NT,high,adult,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,QC,medium,adult,Bloc_Quebecois,Canadian citizen,0,0,0,0,0,1
Female,ON,high,very_old_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,ON,high,old_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,very_old_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,high,adult,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,QC,medium,old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,very_old_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
