cps19_gender,cps19_province,cps19_education,cps19_yob,cps19_votechoice,cps19_interest_elxn_1,cps19_v_likely
A man,Ontario,Bachelor's degree,1991,Liberal Party,9,Certain to vote
A man,Ontario,Bachelor's degree,1965,NA,7,Unlikely to vote
A man,Ontario,Some university,1956,Liberal Party,9,Certain to vote
A man,Alberta,Bachelor's degree,1958,Conservative Party,10,Certain to vote
A woman,Quebec,Bachelor's degree,1990,Conservative Party,6,Certain to vote
A man,Ontario,Some university,1946,Conservative Party,9,Certain to vote
A woman,Ontario,Some secondary/ high school,1950,Conservative Party,NA,Certain to vote
A man,Ontario,Bachelor's degree,1952,Don't know/ Prefer not to answer,7,Certain to vote
A woman,Quebec,Completed secondary/ high school,1943,Don't know/ Prefer not to answer,8,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1970,Liberal Party,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,1957,Conservative Party,8,Certain to vote
A man,Nova Scotia,Professional degree or doctorate,1972,Conservative Party,5,Certain to vote
A woman,Ontario,Bachelor's degree,1965,Liberal Party,4,Certain to vote
A woman,Quebec,Completed secondary/ high school,1964,Green Party,7,Likely to vote
A woman,Ontario,Some secondary/ high school,1961,Green Party,6,Certain to vote
A woman,Manitoba,"Completed technical, community college, CEGEP, College Classique",1978,Liberal Party,10,Certain to vote
A man,Quebec,Master's degree,1965,Bloc Québécois,10,Certain to vote
A woman,Alberta,Bachelor's degree,1985,Conservative Party,10,Certain to vote
A woman,British Columbia,"Some technical, community college, CEGEP, College Classique",1953,Conservative Party,8,Certain to vote
A woman,Quebec,"Some technical, community college, CEGEP, College Classique",1971,Liberal Party,8,Certain to vote
A man,British Columbia,Master's degree,1951,Liberal Party,10,Certain to vote
A woman,Ontario,Completed secondary/ high school,1966,Liberal Party,10,Certain to vote
A man,Nova Scotia,Some university,1951,Liberal Party,8,Certain to vote
A woman,Quebec,Completed secondary/ high school,1954,Liberal Party,7,Certain to vote
A woman,Quebec,Bachelor's degree,1991,Liberal Party,5,Likely to vote
A woman,Manitoba,"Completed technical, community college, CEGEP, College Classique",1979,Green Party,5,Certain to vote
A woman,Quebec,Bachelor's degree,1991,Don't know/ Prefer not to answer,7,Certain to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1950,Green Party,8,Likely to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1984,Liberal Party,8,Certain to vote
A man,New Brunswick,Bachelor's degree,1985,Liberal Party,10,Certain to vote
A man,Alberta,Bachelor's degree,1963,Conservative Party,2,Likely to vote
A woman,Ontario,Bachelor's degree,1991,Conservative Party,3,Certain to vote
A woman,Quebec,Completed secondary/ high school,1951,Liberal Party,10,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1969,Green Party,8,Certain to vote
A woman,Ontario,Bachelor's degree,1980,Conservative Party,6,Likely to vote
A man,Alberta,Some university,1958,Liberal Party,10,Certain to vote
A man,Ontario,Some university,1945,Liberal Party,8,Certain to vote
A man,Manitoba,"Some technical, community college, CEGEP, College Classique",1965,Conservative Party,9,Certain to vote
A man,Manitoba,Professional degree or doctorate,1979,Liberal Party,7,Certain to vote
A woman,Manitoba,Completed secondary/ high school,1959,Conservative Party,7,Certain to vote
A woman,British Columbia,Master's degree,1965,Liberal Party,7,Certain to vote
A woman,Quebec,"Some technical, community college, CEGEP, College Classique",1973,Another party (please specify),5,Certain to vote
A woman,Quebec,Completed secondary/ high school,1959,Don't know/ Prefer not to answer,7,Certain to vote
A man,Quebec,"Completed technical, community college, CEGEP, College Classique",1960,Conservative Party,10,Certain to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1956,Don't know/ Prefer not to answer,7,Certain to vote
A man,Ontario,Bachelor's degree,1952,Conservative Party,10,Certain to vote
A man,Ontario,Bachelor's degree,1968,Conservative Party,6,Certain to vote
A man,Ontario,Completed secondary/ high school,1947,ndp,9,Certain to vote
A woman,Quebec,"Some technical, community college, CEGEP, College Classique",1963,Conservative Party,4,Likely to vote
A woman,Saskatchewan,Completed secondary/ high school,1982,Don't know/ Prefer not to answer,3,Certain to vote
A woman,Quebec,Professional degree or doctorate,1959,Liberal Party,8,Certain to vote
A man,Ontario,Master's degree,1938,Conservative Party,10,Certain to vote
A man,Ontario,Master's degree,1956,ndp,7,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1980,Don't know/ Prefer not to answer,7,Certain to vote
A man,Ontario,Some university,1956,Conservative Party,8,Certain to vote
A woman,Ontario,Master's degree,1958,Don't know/ Prefer not to answer,4,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1954,Conservative Party,10,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1947,Conservative Party,NA,Certain to vote
A woman,Ontario,Completed secondary/ high school,1980,NA,5,Certain not to vote
A woman,Ontario,Bachelor's degree,1920,Don't know/ Prefer not to answer,9,Certain to vote
A man,Ontario,Some secondary/ high school,1938,Conservative Party,10,Certain to vote
A woman,Nova Scotia,Some secondary/ high school,1949,NA,2,donot know
A woman,Ontario,Master's degree,1989,NA,4,Unlikely to vote
A man,Ontario,Bachelor's degree,1982,Conservative Party,7,Certain to vote
A man,Nova Scotia,"Some technical, community college, CEGEP, College Classique",1967,Green Party,5,Certain to vote
A man,Alberta,Professional degree or doctorate,1964,Don't know/ Prefer not to answer,10,Certain to vote
A woman,Ontario,Bachelor's degree,1970,Liberal Party,8,Certain to vote
A man,Ontario,Some university,1938,Conservative Party,10,Certain to vote
A man,Ontario,Don't know/ Prefer not to answer,1953,ndp,10,Certain to vote
A man,Ontario,Some university,1946,Liberal Party,10,Certain to vote
A woman,Quebec,Completed secondary/ high school,1989,Don't know/ Prefer not to answer,NA,Certain to vote
A woman,Ontario,Bachelor's degree,1966,Conservative Party,10,Certain to vote
A man,Ontario,Completed secondary/ high school,1962,Don't know/ Prefer not to answer,6,Certain to vote
A man,Ontario,Professional degree or doctorate,1935,Don't know/ Prefer not to answer,8,Certain to vote
A man,Ontario,Completed secondary/ high school,1950,Don't know/ Prefer not to answer,5,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1939,Conservative Party,9,Certain to vote
A man,British Columbia,"Some technical, community college, CEGEP, College Classique",1959,NA,1,Certain not to vote
A man,Ontario,Bachelor's degree,1994,Liberal Party,9,Certain to vote
A man,Ontario,Bachelor's degree,1983,Liberal Party,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,1959,Conservative Party,8,Certain to vote
A man,Ontario,Master's degree,1950,Another party (please specify),5,Certain to vote
A woman,Ontario,Bachelor's degree,1961,Conservative Party,8,Certain to vote
A woman,Ontario,Bachelor's degree,1970,Green Party,6,Certain to vote
A man,Quebec,Bachelor's degree,1956,Liberal Party,7,Certain to vote
A woman,Ontario,Completed secondary/ high school,2000,Liberal Party,8,Certain to vote
A woman,Ontario,Bachelor's degree,1993,Green Party,10,Certain to vote
A man,Quebec,"Some technical, community college, CEGEP, College Classique",1955,Conservative Party,8,Certain to vote
A man,Ontario,Bachelor's degree,1957,Conservative Party,10,Certain to vote
A man,New Brunswick,Bachelor's degree,1962,Don't know/ Prefer not to answer,9,Certain to vote
A woman,Quebec,"Some technical, community college, CEGEP, College Classique",1954,Bloc Québécois,8,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1953,Liberal Party,9,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1959,Liberal Party,10,Certain to vote
A man,Ontario,Bachelor's degree,1976,ndp,9,Certain to vote
A man,Quebec,"Completed technical, community college, CEGEP, College Classique",1956,Don't know/ Prefer not to answer,7,Certain to vote
A man,Nova Scotia,"Completed technical, community college, CEGEP, College Classique",1961,ndp,8,Certain to vote
A man,Quebec,Bachelor's degree,1964,Conservative Party,8,Certain to vote
A woman,Quebec,Completed secondary/ high school,1961,Don't know/ Prefer not to answer,6,Likely to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1945,Liberal Party,8,Certain to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1977,ndp,6,Certain to vote
A man,Ontario,Completed secondary/ high school,1963,ndp,7,Likely to vote
A woman,Ontario,Completed secondary/ high school,1983,Green Party,9,Likely to vote
A man,Ontario,Professional degree or doctorate,1946,Conservative Party,9,Certain to vote
A woman,Quebec,Completed elementary school,1977,Liberal Party,2,Likely to vote
A man,Ontario,Completed secondary/ high school,1983,Liberal Party,6,Certain to vote
A woman,Ontario,Bachelor's degree,1969,Conservative Party,8,Certain to vote
A man,Quebec,"Completed technical, community college, CEGEP, College Classique",1946,Bloc Québécois,7,Certain to vote
A woman,Ontario,Master's degree,1979,Don't know/ Prefer not to answer,5,Certain to vote
A man,Ontario,Master's degree,1937,Liberal Party,8,Certain to vote
A man,Ontario,Master's degree,1939,Don't know/ Prefer not to answer,9,Certain to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1964,Green Party,9,Certain to vote
A woman,Ontario,Professional degree or doctorate,1948,ndp,8,Certain to vote
A man,Ontario,Bachelor's degree,1977,Liberal Party,6,Certain to vote
A man,Alberta,Bachelor's degree,1987,Conservative Party,9,Likely to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1942,Green Party,7,Certain to vote
A man,Quebec,Bachelor's degree,1962,Bloc Québécois,8,Certain to vote
A man,Ontario,Bachelor's degree,1963,Liberal Party,10,Certain to vote
A man,Ontario,Bachelor's degree,1959,Liberal Party,7,Certain to vote
A man,Newfoundland and Labrador,Bachelor's degree,1955,Conservative Party,8,Likely to vote
A woman,Quebec,Completed secondary/ high school,1996,Green Party,7,Certain to vote
A woman,Ontario,Some secondary/ high school,1951,Don't know/ Prefer not to answer,10,Certain to vote
A man,Ontario,Master's degree,1991,Liberal Party,8,Likely to vote
A man,Ontario,Bachelor's degree,1947,Liberal Party,9,Certain to vote
A woman,Quebec,Completed secondary/ high school,1955,Don't know/ Prefer not to answer,5,Certain to vote
A woman,Ontario,Master's degree,1979,Conservative Party,8,Certain to vote
A woman,Ontario,Master's degree,1941,Liberal Party,6,Certain to vote
A man,Quebec,Some university,1990,Green Party,6,Certain to vote
A man,Quebec,Completed secondary/ high school,1960,Conservative Party,6,Certain to vote
A man,Ontario,Bachelor's degree,1980,Conservative Party,10,Certain to vote
A woman,British Columbia,Bachelor's degree,1974,Liberal Party,5,Likely to vote
A woman,British Columbia,"Completed technical, community college, CEGEP, College Classique",1986,Green Party,5,Certain to vote
A woman,British Columbia,"Completed technical, community college, CEGEP, College Classique",1953,NA,3,donot know
A woman,Quebec,Some university,1972,Conservative Party,8,Certain to vote
"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",New Brunswick,Completed secondary/ high school,1951,Conservative Party,10,Likely to vote
A woman,Quebec,Bachelor's degree,1984,Don't know/ Prefer not to answer,NA,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1949,ndp,10,Certain to vote
A man,Ontario,Completed secondary/ high school,1976,Conservative Party,10,Certain to vote
A man,Quebec,Some secondary/ high school,1984,NA,2,Certain not to vote
A woman,Quebec,Bachelor's degree,1957,Conservative Party,8,Certain to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1978,ndp,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,1951,Liberal Party,8,Certain to vote
A woman,Quebec,Bachelor's degree,1957,Conservative Party,7,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1986,Liberal Party,7,Likely to vote
A man,Quebec,Completed secondary/ high school,1984,ndp,9,Certain to vote
A man,New Brunswick,"Completed technical, community college, CEGEP, College Classique",1940,Conservative Party,9,Certain to vote
A man,Ontario,Master's degree,1973,NA,8,Unlikely to vote
A man,Prince Edward Island,Completed secondary/ high school,1985,Conservative Party,7,Certain to vote
A man,Ontario,Professional degree or doctorate,1972,Liberal Party,7,Certain to vote
A woman,Quebec,Completed secondary/ high school,1945,Bloc Québécois,10,Certain to vote
A man,Ontario,Bachelor's degree,1973,Conservative Party,10,Certain to vote
A woman,Quebec,Master's degree,1972,Green Party,7,Certain to vote
A man,Quebec,Some university,1962,NA,2,Unlikely to vote
A man,Alberta,Some secondary/ high school,1983,Liberal Party,4,Certain to vote
A woman,Ontario,Professional degree or doctorate,1989,Liberal Party,10,Certain to vote
A woman,Ontario,Master's degree,1967,Liberal Party,7,Certain to vote
A woman,Ontario,Completed secondary/ high school,1945,Conservative Party,10,Certain to vote
A man,Ontario,Bachelor's degree,1948,Liberal Party,10,Certain to vote
A woman,Quebec,Some university,1951,Don't know/ Prefer not to answer,2,Certain to vote
A woman,Quebec,Bachelor's degree,1971,Bloc Québécois,9,Certain to vote
A woman,Ontario,Bachelor's degree,1944,Don't know/ Prefer not to answer,8,Likely to vote
A man,Nova Scotia,"Some technical, community college, CEGEP, College Classique",1954,Conservative Party,NA,Certain to vote
A woman,Ontario,Bachelor's degree,1933,Liberal Party,NA,Certain to vote
A man,Ontario,Completed elementary school,1982,NA,6,Certain not to vote
A man,Ontario,Bachelor's degree,1946,Liberal Party,6,Certain to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1956,NA,4,Unlikely to vote
A woman,Ontario,Completed secondary/ high school,1947,Conservative Party,8,Likely to vote
A man,Quebec,Bachelor's degree,1965,Green Party,2,Likely to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1969,NA,5,Unlikely to vote
A man,Prince Edward Island,Master's degree,1958,Liberal Party,6,Certain to vote
A man,Ontario,Master's degree,1975,People's Party,2,Certain to vote
A man,Quebec,Bachelor's degree,1979,Don't know/ Prefer not to answer,7,Likely to vote
A man,New Brunswick,"Completed technical, community college, CEGEP, College Classique",1963,Don't know/ Prefer not to answer,9,Certain to vote
A woman,New Brunswick,"Completed technical, community college, CEGEP, College Classique",1985,Don't know/ Prefer not to answer,2,Likely to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1960,Don't know/ Prefer not to answer,7,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1962,Conservative Party,10,Certain to vote
A man,Newfoundland and Labrador,"Some technical, community college, CEGEP, College Classique",1988,Liberal Party,9,Certain to vote
A man,Ontario,Bachelor's degree,1960,ndp,6,Certain to vote
A woman,Ontario,Bachelor's degree,1956,Liberal Party,9,Certain to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1958,Green Party,8,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1965,Don't know/ Prefer not to answer,7,Likely to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1952,Don't know/ Prefer not to answer,10,Certain to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1947,Liberal Party,7,Certain to vote
A man,Ontario,Completed secondary/ high school,1966,Conservative Party,7,Certain to vote
A man,Quebec,"Completed technical, community college, CEGEP, College Classique",1989,Bloc Québécois,8,Certain to vote
A man,Alberta,Bachelor's degree,1996,Conservative Party,6,Certain to vote
A man,Newfoundland and Labrador,Bachelor's degree,1960,Liberal Party,10,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1959,Don't know/ Prefer not to answer,7,Certain to vote
A man,Ontario,Some secondary/ high school,1946,Liberal Party,9,Certain to vote
A woman,Quebec,Some university,1960,Don't know/ Prefer not to answer,8,Certain to vote
A woman,Quebec,Some university,1950,Liberal Party,7,Certain to vote
A woman,Ontario,Some university,1936,Green Party,7,Certain to vote
A woman,Quebec,Bachelor's degree,1962,Liberal Party,7,Certain to vote
A man,Quebec,Bachelor's degree,1961,Bloc Québécois,9,Certain to vote
A woman,Ontario,Master's degree,1969,Liberal Party,10,Certain to vote
A woman,Newfoundland and Labrador,"Some technical, community college, CEGEP, College Classique",1946,Conservative Party,8,Certain to vote
A woman,Quebec,Bachelor's degree,1982,Don't know/ Prefer not to answer,4,Likely to vote
A woman,Quebec,"Some technical, community college, CEGEP, College Classique",1967,Conservative Party,NA,Certain to vote
A man,Nova Scotia,Completed secondary/ high school,1940,Conservative Party,8,Certain to vote
A woman,Ontario,Bachelor's degree,1949,Liberal Party,5,Certain to vote
A woman,Ontario,Professional degree or doctorate,1920,Liberal Party,7,Certain to vote
A man,Quebec,"Some technical, community college, CEGEP, College Classique",1954,Conservative Party,9,Certain to vote
A woman,New Brunswick,"Completed technical, community college, CEGEP, College Classique",1955,Conservative Party,10,Likely to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1947,Green Party,8,Certain to vote
A woman,Quebec,Bachelor's degree,1980,Liberal Party,8,Certain to vote
A man,Ontario,Professional degree or doctorate,1946,Don't know/ Prefer not to answer,10,Certain to vote
A man,Alberta,"Completed technical, community college, CEGEP, College Classique",1984,Conservative Party,7,Likely to vote
A man,Ontario,Bachelor's degree,1952,Liberal Party,9,Certain to vote
A woman,Ontario,Bachelor's degree,1950,Conservative Party,10,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1958,Liberal Party,5,Likely to vote
A woman,Ontario,Bachelor's degree,1970,Don't know/ Prefer not to answer,5,Certain to vote
A woman,Ontario,Bachelor's degree,1963,Conservative Party,9,Certain to vote
A woman,Ontario,Bachelor's degree,1987,Liberal Party,7,Certain to vote
A man,Alberta,Some secondary/ high school,1999,Green Party,8,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1956,Liberal Party,9,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1944,Bloc Québécois,8,Certain to vote
A woman,Quebec,Bachelor's degree,1961,Green Party,NA,Likely to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1943,Conservative Party,10,Certain to vote
A woman,Quebec,Bachelor's degree,1970,Don't know/ Prefer not to answer,10,Certain to vote
A woman,Quebec,Some university,1960,Liberal Party,6,Certain to vote
A woman,Quebec,Completed secondary/ high school,1959,Conservative Party,8,Certain to vote
A woman,Quebec,"Some technical, community college, CEGEP, College Classique",1963,Liberal Party,5,Certain to vote
A woman,Ontario,Bachelor's degree,1958,Liberal Party,8,Certain to vote
A woman,Ontario,Master's degree,1958,Don't know/ Prefer not to answer,9,Certain to vote
A woman,Ontario,Professional degree or doctorate,1958,Liberal Party,10,Certain to vote
A woman,Ontario,Completed secondary/ high school,1951,Liberal Party,9,Certain to vote
A man,Quebec,"Completed technical, community college, CEGEP, College Classique",1957,People's Party,5,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1980,Conservative Party,6,Certain to vote
